Zip,Weekday,Number of Trips
8820,0,3
8820,2,2
8820,3,1
8820,5,1
8820,6,1
8828,0,1
8830,0,3
8830,1,4
8830,2,2
8830,3,6
8830,4,5
8830,5,2
8832,6,1
8837,0,1
8837,2,2
8837,3,1
8837,4,1
8840,2,1
8840,4,1
8840,6,3
8846,2,1
8846,4,2
8854,0,1
8854,1,4
8854,2,1
8854,5,2
8857,2,1
8859,3,1
8861,1,1
8863,0,1
8863,1,1
8863,2,1
8863,3,2
8863,4,1
8863,5,1
8869,0,1
8869,3,1
8872,3,1
8873,1,1
8873,5,1
8876,3,3
8879,0,1
8879,1,1
8879,2,3
8879,5,1
8880,2,1
8880,4,1
8880,5,1
8882,6,1
8901,0,1
8901,2,2
8901,3,1
8901,4,1
8901,5,1
8902,3,1
8902,4,2
8902,5,2
8904,0,2
8904,1,3
8904,2,5
8904,4,5
8904,5,7
10001,0,2603
10001,1,3679
10001,2,4014
10001,3,4370
10001,4,3780
10001,5,2393
10001,6,1784
10002,0,1661
10002,1,2106
10002,2,2115
10002,3,2453
10002,4,2837
10002,5,3075
10002,6,2370
10003,0,2172
10003,1,2940
10003,2,3092
10003,3,3682
10003,4,3745
10003,5,3380
10003,6,2096
10004,0,7
10004,1,7
10004,2,6
10004,3,13
10004,4,13
10004,5,14
10004,6,9
10005,0,337
10005,1,461
10005,2,507
10005,3,611
10005,4,511
10005,5,436
10005,6,235
10006,0,312
10006,1,416
10006,2,495
10006,3,467
10006,4,461
10006,5,352
10006,6,235
10007,0,479
10007,1,615
10007,2,666
10007,3,783
10007,4,731
10007,5,600
10007,6,352
10009,0,1439
10009,1,1548
10009,2,1619
10009,3,1839
10009,4,2309
10009,5,1992
10009,6,1335
10011,0,3075
10011,1,4295
10011,2,4612
10011,3,5193
10011,4,4998
10011,5,4200
10011,6,2710
10012,0,3185
10012,1,4296
10012,2,4659
10012,3,5052
10012,4,4803
10012,5,4112
10012,6,2633
10013,0,1285
10013,1,1720
10013,2,1915
10013,3,2012
10013,4,1831
10013,5,1479
10013,6,921
10014,0,1664
10014,1,2259
10014,2,2432
10014,3,2636
10014,4,2600
10014,5,2561
10014,6,2045
10016,0,462
10016,1,543
10016,2,591
10016,3,715
10016,4,841
10016,5,782
10016,6,465
10017,0,1235
10017,1,1621
10017,2,1761
10017,3,1860
10017,4,1960
10017,5,1364
10017,6,893
10018,0,1639
10018,1,2197
10018,2,2394
10018,3,2521
10018,4,2336
10018,5,2261
10018,6,1594
10019,0,1031
10019,1,1273
10019,2,1394
10019,3,1529
10019,4,1480
10019,5,1380
10019,6,863
10020,0,778
10020,1,1199
10020,2,1198
10020,3,1212
10020,4,938
10020,5,527
10020,6,341
10021,0,1531
10021,1,2073
10021,2,2081
10021,3,2045
10021,4,2090
10021,5,1550
10021,6,999
10022,0,884
10022,1,1318
10022,2,1389
10022,3,1337
10022,4,1222
10022,5,705
10022,6,530
10023,0,1289
10023,1,1485
10023,2,1652
10023,3,1642
10023,4,1668
